SaturdayMorning,Vacation,Breakfast,House,FavouriteThing,City,Holiday,Cup,Friday,Beverage
4,5,4,2,4,3,4,2,5,Original South India Frappe
5,5,6,1,3,1,3,6,2,Kaapi-cino
3,2,1,2,4,4,3,5,4,Hot Chocolate
5,5,5,5,3,4,6,3,1,South Indian Filter Kaapi
5,3,4,1,1,4,6,1,2,South Indian Filter Kaapi
2,5,3,3,5,4,5,2,4,Espresso
3,1,2,1,5,2,5,2,3,Hazelnut Frappe Cold Coffee
3,5,5,1,2,6,2,5,4,Bellatte
3,2,2,2,4,3,4,6,3,Americano
5,5,3,5,1,5,1,6,5,Bellatte
4,4,2,4,6,6,2,2,5,Hazelnut Frappe Cold Coffee
3,6,6,3,6,3,1,2,2,Cold Brew
6,6,1,3,4,4,2,2,5,Hot Chocolate
5,4,6,1,4,5,1,5,1,Hazelnut Frappe Cold Coffee
2,4,1,4,5,6,6,2,5,Double Restritto
4,3,3,1,6,6,6,1,3,Bon Bon Cold Coffee
6,2,4,5,3,1,5,1,4,Cafe Latte
6,4,4,1,6,1,2,4,2,Cafe Mocha
2,4,2,4,2,5,3,2,3,Vietnamese Cold Coffee
4,6,3,3,2,3,1,3,3,Bellatte
5,4,3,3,5,4,2,6,1,Iced Latte Cold Coffee
1,6,1,3,3,4,3,5,3,Cafe Mocha
4,6,4,6,5,3,5,2,4,Original South India Frappe
2,2,4,1,6,1,5,2,2,Original South India Frappe
6,6,5,3,2,3,5,6,4,Cappucino
5,4,1,3,3,4,3,3,6,Cappucino
4,3,4,3,1,2,2,1,1,Bon Bon Cold Coffee
1,4,4,2,2,1,3,1,3,South Indian Filter Kaapi
1,1,6,3,2,4,1,6,1,Hot Chocolate
3,3,2,6,3,6,2,4,1,Flat White
3,1,4,6,6,5,5,5,6,Cappucino
2,4,2,2,3,5,6,2,2,Cappucino
4,4,4,3,3,2,4,6,6,Hot Chocolate
4,2,6,5,5,1,1,4,5,Vietnamese Cold Coffee
6,6,6,3,5,1,2,1,1,Madagascar Choco Chip Frappe
6,1,2,6,1,5,1,6,6,Nariyal Irish Cream Frappe
6,1,1,4,5,4,3,6,6,Kaapi-cino
3,5,2,1,5,5,1,4,5,Cafe Latte
4,5,4,3,5,4,3,2,2,Espresso
4,5,1,5,2,4,5,4,1,Flat White
1,5,6,6,3,2,2,6,6,Hot Chocolate
3,1,3,2,2,1,2,5,5,Vietnamese Cold Coffee
5,2,4,4,5,5,1,4,5,Bellatte
3,5,4,3,4,2,2,1,6,Cafe Mocha
5,1,5,1,5,2,4,6,6,Madagascar Choco Chip Frappe
1,2,5,1,1,3,4,6,3,Cappucino
2,2,1,3,3,4,3,2,2,Nariyal Irish Cream Frappe
4,5,6,1,2,2,2,1,5,Cafe Latte
1,1,3,3,2,6,1,3,1,Hazelnut Frappe Cold Coffee
4,3,2,1,1,1,5,5,2,Bellatte
6,1,6,1,1,1,4,5,4,Classic Frappe Cold Coffee
2,2,5,5,1,6,5,1,6,Bon Bon Cold Coffee
2,4,3,6,3,2,4,5,1,Flat White
1,5,3,4,2,1,2,4,2,Flat White
2,2,1,2,6,3,5,6,1,Espresso
5,3,2,6,2,1,2,2,6,Hot Chocolate
2,3,1,5,3,3,4,3,1,Vietnamese Cold Coffee
4,3,3,3,5,3,4,4,5,Classic Frappe Cold Coffee
4,3,2,1,2,4,4,3,3,Vietnamese Cold Coffee
4,6,6,3,6,5,2,1,5,Cafe Latte
4,1,4,4,6,1,4,3,5,Madagascar Choco Chip Frappe
5,2,5,1,2,2,6,6,5,Americano
3,3,6,6,3,1,4,6,2,Espresso
6,2,2,1,6,4,5,1,2,Nariyal Irish Cream Frappe
1,2,5,3,2,4,2,5,2,Hazelnut Frappe Cold Coffee
4,4,6,2,2,2,6,6,3,South Indian Filter Kaapi
2,1,4,6,1,1,6,1,6,Americano
4,4,6,4,6,2,6,3,6,Double Restritto
2,5,6,1,4,6,2,1,3,Americano
6,5,1,4,5,2,1,5,1,Americano
6,6,1,1,4,2,6,6,3,Hazelnut Frappe Cold Coffee
6,5,3,1,4,5,4,3,2,Flat White
2,4,1,3,1,5,3,1,3,Classic Frappe Cold Coffee
4,2,2,6,2,6,1,4,3,Bellatte
6,6,5,3,1,6,6,2,6,Hot Chocolate
5,5,6,1,5,4,5,1,1,South Indian Filter Kaapi
2,6,2,3,6,2,4,3,3,Americano
2,5,5,1,5,1,3,6,4,Classic Frappe Cold Coffee
4,4,4,2,2,1,6,3,5,Nariyal Irish Cream Frappe
2,2,5,1,3,1,1,4,3,Hazelnut Frappe Cold Coffee
2,5,3,2,4,6,2,3,3,Cafe Latte
6,1,1,5,2,2,3,6,3,Cafe Latte
4,5,2,4,3,1,5,1,1,Americano
6,4,6,4,4,4,6,1,4,Nariyal Irish Cream Frappe
6,4,2,1,4,6,6,5,6,Bon Bon Cold Coffee
4,1,6,1,6,6,5,5,6,Americano
1,2,1,3,6,5,5,6,6,Bellatte
6,1,4,5,2,3,6,2,1,Iced Latte Cold Coffee
5,6,5,5,2,6,5,5,2,Sea Salt Dark Mocha
5,5,2,1,5,3,6,4,6,Original South India Frappe
2,4,6,2,3,6,4,6,4,Cold Brew
5,2,3,5,5,5,4,4,4,Double Restritto
2,5,6,6,3,1,4,5,6,Espresso
1,1,2,4,1,5,1,5,1,Original South India Frappe
4,6,6,1,1,1,1,5,1,Madagascar Choco Chip Frappe
4,5,6,3,1,5,3,2,1,Iced Latte Cold Coffee
4,1,6,6,4,5,3,2,4,Madagascar Choco Chip Frappe
5,3,1,6,1,2,3,4,5,Bellatte
1,3,3,5,4,5,4,2,4,Flat White
5,4,4,6,6,2,4,4,1,Madagascar Hot Chocolate
5,2,2,2,4,6,5,1,5,Vietnamese Cold Coffee
1,4,5,1,6,6,6,5,5,Nariyal Irish Cream Frappe
1,5,3,3,3,1,1,2,2,Madagascar Hot Chocolate
1,6,2,6,5,6,2,5,4,Nariyal Irish Cream Frappe
1,3,5,1,4,5,1,4,6,Iced Latte Cold Coffee
4,4,3,2,5,2,3,6,3,Flat White
3,1,5,1,4,1,5,1,4,Bellatte
3,2,3,4,5,4,1,2,3,Iced Latte Cold Coffee
1,3,5,6,5,3,2,4,2,Cafe Latte
3,2,5,4,5,2,1,2,1,Espresso
3,2,2,3,6,3,1,1,1,Vietnamese Cold Coffee
1,3,3,4,6,6,4,2,2,Hazelnut Frappe Cold Coffee
3,1,4,2,2,4,2,6,4,Bon Bon Cold Coffee
5,6,6,4,2,4,3,1,5,Nariyal Irish Cream Frappe
2,1,5,1,2,2,6,5,3,Madagascar Hot Chocolate
2,1,6,5,5,3,5,6,1,Vietnamese Cold Coffee
1,2,2,6,6,3,1,3,2,Bon Bon Cold Coffee
4,1,2,4,1,5,5,4,2,Kaapi-cino
1,5,3,3,4,4,2,6,3,Hot Chocolate
4,6,6,2,2,4,1,4,1,Madagascar Hot Chocolate
2,5,2,2,6,2,5,5,3,Madagascar Choco Chip Frappe
1,1,6,1,4,5,1,2,3,Madagascar Hot Chocolate
6,1,6,6,4,2,4,1,3,Hazelnut Frappe Cold Coffee
5,3,1,2,1,3,5,4,6,Cafe Mocha
3,3,5,3,1,2,6,6,3,South Indian Filter Kaapi
4,4,3,2,6,6,3,1,2,Cappucino
6,2,1,1,2,5,6,6,6,South Indian Filter Kaapi
3,2,5,4,4,5,4,6,2,Cold Brew
3,3,3,2,5,5,4,6,4,Cafe Latte
1,5,3,4,6,1,5,4,4,Classic Frappe Cold Coffee
3,4,4,6,1,4,5,6,4,Bon Bon Cold Coffee
5,3,2,2,4,3,2,2,3,Cappucino
6,6,3,2,3,3,6,5,6,Madagascar Choco Chip Frappe
3,6,2,3,3,1,6,4,5,Cappucino
1,4,6,2,6,1,6,1,1,South Indian Filter Kaapi
5,2,1,6,4,2,5,3,1,Sea Salt Dark Mocha
2,6,2,3,2,1,4,1,2,Double Restritto
6,2,4,4,6,2,6,6,1,Bon Bon Cold Coffee
3,6,1,4,6,2,2,2,4,Iced Latte Cold Coffee
1,2,4,4,5,1,4,1,2,Nariyal Irish Cream Frappe
2,5,4,5,4,1,4,6,2,South Indian Filter Kaapi
2,3,1,1,5,4,1,4,4,Nariyal Irish Cream Frappe
4,6,4,3,6,5,4,6,4,Kaapi-cino
5,6,6,6,2,2,1,4,5,Cold Brew
3,6,5,4,3,2,4,1,1,Americano
1,4,2,1,3,2,5,1,1,Sea Salt Dark Mocha
4,3,1,2,1,6,1,3,3,Espresso
5,2,4,5,5,1,3,1,1,Hot Chocolate
4,2,1,2,6,6,1,6,6,Hazelnut Frappe Cold Coffee
6,3,4,6,5,5,4,3,3,Sea Salt Dark Mocha
5,1,2,4,3,5,2,3,4,Double Restritto
5,1,3,6,6,6,4,2,6,Nariyal Irish Cream Frappe
3,3,2,3,3,2,1,5,4,Flat White
5,2,6,2,4,4,6,6,3,Espresso
4,6,4,1,5,1,1,2,5,Vietnamese Cold Coffee
5,4,4,2,4,2,4,2,4,Double Restritto
3,1,6,3,4,1,6,5,1,Original South India Frappe
3,6,6,2,2,6,5,6,3,Bellatte
6,6,4,6,1,1,3,6,6,Bellatte
4,6,6,2,3,2,6,6,4,Original South India Frappe
2,3,1,4,3,6,1,6,3,Madagascar Choco Chip Frappe
2,5,6,3,3,4,1,6,3,Hazelnut Frappe Cold Coffee
5,3,1,2,6,2,2,5,5,South Indian Filter Kaapi
6,2,1,2,2,1,5,6,1,Madagascar Choco Chip Frappe
1,3,3,5,6,4,6,1,5,Madagascar Hot Chocolate
5,1,6,2,3,6,4,3,3,Nariyal Irish Cream Frappe
6,1,6,3,1,5,1,2,4,Cafe Latte
4,6,4,2,2,4,1,1,2,Flat White
4,3,5,6,2,4,2,1,2,Original South India Frappe
4,6,1,4,2,3,2,3,1,Bon Bon Cold Coffee
4,4,1,5,6,2,1,6,2,Hazelnut Frappe Cold Coffee
4,3,6,3,2,2,3,5,4,Bellatte
6,4,4,2,6,3,6,3,1,Madagascar Hot Chocolate
6,1,3,4,3,1,1,6,6,Espresso
3,5,5,1,4,3,2,5,4,Sea Salt Dark Mocha
2,4,1,2,6,6,3,2,2,Hazelnut Frappe Cold Coffee
4,3,2,1,3,1,5,4,2,Espresso
1,2,5,4,2,6,4,1,5,Vietnamese Cold Coffee
6,2,5,5,2,5,1,3,4,Cafe Latte
1,3,5,2,3,4,3,6,1,Cappucino
1,1,5,2,4,3,6,3,6,Kaapi-cino
1,1,5,5,6,3,5,2,1,Cold Brew
3,1,4,4,6,4,3,5,3,Classic Frappe Cold Coffee
6,3,5,6,4,1,2,6,5,Madagascar Hot Chocolate
1,2,5,2,6,1,1,3,5,Double Restritto
4,5,2,5,2,5,4,6,6,Madagascar Hot Chocolate
5,2,3,1,5,3,5,5,2,Flat White
1,1,3,6,5,4,2,4,1,Original South India Frappe
3,3,1,4,2,5,1,1,5,Iced Latte Cold Coffee
6,3,1,1,2,4,4,1,4,Hot Chocolate
3,5,4,4,3,3,6,4,5,Madagascar Choco Chip Frappe
1,2,5,2,5,2,5,5,3,Original South India Frappe
6,1,3,3,4,1,6,6,3,Original South India Frappe
5,5,1,6,6,3,3,2,4,Iced Latte Cold Coffee
1,1,3,5,2,2,6,3,5,Flat White
3,2,3,1,4,3,6,1,5,Nariyal Irish Cream Frappe
2,5,3,1,6,3,2,2,4,Americano
4,1,1,1,3,3,3,3,3,Cold Brew
3,4,5,6,5,4,3,4,6,Bon Bon Cold Coffee
6,3,1,4,3,3,4,4,3,Double Restritto
1,2,6,3,3,2,2,2,4,Hazelnut Frappe Cold Coffee
4,3,3,4,5,5,4,6,3,Nariyal Irish Cream Frappe
1,1,5,5,6,5,6,3,5,Madagascar Hot Chocolate
6,5,3,2,4,3,4,6,6,Hazelnut Frappe Cold Coffee
1,1,6,3,6,3,6,3,1,Bellatte
2,6,3,2,1,1,5,1,2,South Indian Filter Kaapi
4,4,2,5,3,1,3,6,1,Double Restritto
4,4,1,4,2,6,2,2,2,Madagascar Choco Chip Frappe
6,2,5,1,6,3,1,1,5,South Indian Filter Kaapi
2,3,4,6,2,5,3,5,2,Bon Bon Cold Coffee
3,6,3,5,6,6,4,6,4,Bellatte
1,1,5,3,1,3,3,6,2,Americano
5,6,6,1,1,3,4,6,5,South Indian Filter Kaapi
1,4,3,3,1,3,5,4,2,Bellatte
1,5,2,5,6,2,1,4,3,Classic Frappe Cold Coffee
3,1,2,1,5,5,3,1,5,Hazelnut Frappe Cold Coffee
1,2,5,5,3,3,3,3,6,Kaapi-cino
2,5,4,2,5,3,5,5,5,Espresso
2,3,1,4,5,2,2,5,1,Hot Chocolate
4,2,1,5,1,6,2,2,2,Double Restritto
6,3,1,3,5,6,4,4,3,Original South India Frappe
5,3,2,1,6,1,5,4,4,Madagascar Choco Chip Frappe
1,4,4,6,1,5,2,4,1,Espresso
1,6,4,6,1,3,6,2,5,Bellatte
3,3,2,6,4,4,2,1,6,Cafe Latte
6,5,6,6,3,5,3,2,4,Iced Latte Cold Coffee
2,5,1,6,6,1,2,1,4,Cafe Latte
5,5,4,5,4,4,4,6,2,Kaapi-cino
4,6,6,6,2,2,2,5,3,Cafe Mocha
2,1,4,1,2,4,4,5,5,Cafe Mocha
6,6,2,5,4,6,5,2,2,South Indian Filter Kaapi
4,4,6,6,2,6,3,1,6,Original South India Frappe
3,6,1,6,2,1,1,3,4,Sea Salt Dark Mocha
3,4,1,1,3,1,3,4,4,Iced Latte Cold Coffee
1,5,2,2,2,3,1,1,3,Espresso
6,1,4,3,1,6,6,1,3,Nariyal Irish Cream Frappe
5,6,4,5,1,1,2,2,1,Cold Brew
4,3,6,6,6,1,1,5,4,Hot Chocolate
2,3,5,1,5,6,2,3,6,Bon Bon Cold Coffee
6,3,4,6,2,6,2,3,6,Madagascar Choco Chip Frappe
6,4,2,5,3,2,6,6,5,Espresso
3,3,4,3,4,3,2,6,5,Double Restritto
1,1,1,6,2,6,6,1,2,Cafe Latte
1,1,1,3,1,2,3,5,1,Madagascar Choco Chip Frappe
4,6,1,4,4,3,2,2,4,Double Restritto
3,6,3,6,3,1,3,2,6,Bon Bon Cold Coffee
6,3,3,3,2,1,5,4,2,Classic Frappe Cold Coffee
5,4,2,4,6,4,2,3,2,Iced Latte Cold Coffee
3,2,4,1,6,6,6,2,3,Bellatte
4,5,1,3,2,2,6,2,1,Bon Bon Cold Coffee
4,3,1,3,1,6,1,5,3,Cold Brew
3,3,3,3,6,2,3,5,4,Madagascar Hot Chocolate
4,6,6,2,2,2,5,5,1,Cappucino
3,5,5,2,4,3,4,2,3,Classic Frappe Cold Coffee
2,2,3,3,6,5,4,5,4,Original South India Frappe
3,6,2,2,3,2,6,3,3,Hazelnut Frappe Cold Coffee
3,3,3,6,6,3,6,3,4,Madagascar Choco Chip Frappe
4,3,2,5,2,6,5,5,6,Hazelnut Frappe Cold Coffee
4,2,1,5,2,5,2,4,5,Cafe Latte
1,5,5,2,3,2,1,2,3,Flat White
1,1,6,5,2,6,5,1,2,Madagascar Choco Chip Frappe
2,3,6,3,3,1,1,6,5,Cold Brew
1,3,6,3,6,6,1,4,1,Sea Salt Dark Mocha
3,6,2,5,3,6,6,2,5,Vietnamese Cold Coffee
4,4,6,2,2,6,4,1,6,Vietnamese Cold Coffee
1,2,3,3,3,6,2,3,5,Classic Frappe Cold Coffee
1,3,1,1,4,6,3,1,4,Madagascar Hot Chocolate
2,4,4,6,3,1,5,6,4,Bellatte
6,6,4,3,1,4,2,1,5,Iced Latte Cold Coffee
2,6,4,4,5,6,4,1,6,Cold Brew
3,1,2,3,3,2,5,3,6,Bellatte
4,2,1,2,5,6,2,6,2,Double Restritto
2,1,5,2,4,6,6,3,2,Americano
1,4,5,3,5,2,2,5,4,Nariyal Irish Cream Frappe
4,6,1,1,6,3,3,2,2,Kaapi-cino
4,5,4,1,2,2,3,6,6,Cafe Latte
1,6,4,1,2,3,3,5,5,Cafe Latte
2,2,4,1,2,5,2,4,4,Cafe Latte
1,5,1,6,2,5,4,3,3,Vietnamese Cold Coffee
6,4,5,2,4,2,5,2,2,Madagascar Choco Chip Frappe
4,2,2,1,4,1,5,2,1,Flat White
5,3,4,1,5,3,6,5,4,Hot Chocolate
5,4,3,3,3,3,4,2,2,Classic Frappe Cold Coffee
3,6,4,5,1,6,2,4,3,Espresso
1,4,4,5,2,6,2,4,2,Double Restritto
1,1,5,1,2,6,3,6,1,Classic Frappe Cold Coffee
3,5,4,1,1,5,2,3,5,Iced Latte Cold Coffee
3,6,1,5,4,1,1,3,3,South Indian Filter Kaapi
3,6,3,1,1,2,1,6,6,Bon Bon Cold Coffee
4,2,5,1,1,6,3,6,1,Hot Chocolate
6,6,4,3,6,5,4,3,1,Cappucino
1,2,6,2,3,3,4,6,2,Madagascar Choco Chip Frappe
4,3,1,5,2,3,4,6,3,Cafe Latte
3,2,6,1,6,5,6,6,4,Classic Frappe Cold Coffee
1,3,2,2,4,6,5,2,1,Double Restritto
4,2,4,4,5,6,1,6,4,Iced Latte Cold Coffee
6,6,6,6,6,6,5,5,5,Double Restritto
4,1,4,1,3,5,4,5,3,Sea Salt Dark Mocha
